,code,name,grade_band,enrollment_SY1718,enrollment_SY1819,star_score_SY1718,star_score_SY1819,star_rating_SY1718,star_rating_SY1819,capacity_SY1718,capacity_SY1819,latitude,longitude,cluster,ward,count_any_SY1819,count_0_SY1819,pct_0_SY1819,count_1-5_SY1819,pct_1-5_SY1819,count_6-10_SY1819,pct_6-10_SY1819,count_11-20_SY1819,pct_11-20_SY1819,count_20+_SY1819,pct_20+_SY1819,count_any_SY1718,count_0_SY1718,pct_0_SY1718,count_1-5_SY1718,pct_1-5_SY1718,count_6-10_SY1718,pct_6-10__SY1718,count_11-20_SY1718,pct_11-20_SY1718,count_20+_SY1718,pct_20+_SY1718,budgeted_amount_FY16,budgeted_enrollment_FY16,budgeted_amount_FY17,budgeted_enrollment_FY17,pct_meet_exceed_math_SY1718,pct_meet_exceed_ela_SY1718,pct_meet_exceed_math_SY1819,pct_meet_exceed_ela_SY1819
21,252.0,Hyde-Addison Elementary School,Elementary,320.0,352.0,87.57,60.69,5.0,4.0,320.0,320.0,38.92282623,-77.02659252,2.0,1.0,228.0,124.0,0.352272727,167.0,0.47443181799999995,38.0,0.107954545,5.0,0.014204545,18.0,0.051136364000000004,220.0,100.0,0.3125,172.0,0.5375,43.0,0.134375,5.0,0.015625,0.0,0.0,6897653.435,3220.0,3331477.0,2867084.0,0.6920000000000001,0.636,0.602,0.7070000000000001
22,254.0,Janney Elementary School,Elementary,737.0,739.0,88.2,83.03,5.0,5.0,722.0,722.0,38.94755042,-77.08099483,11.0,3.0,461.0,278.0,0.37618403200000006,427.0,0.577807848,24.0,0.032476319,5.0,0.006765899999999999,5.0,0.006765899999999999,535.0,202.0,0.274084125,506.0,0.6865671640000001,24.0,0.03256445,5.0,0.006784261,0.0,0.0,13141750.0,7300.0,6602473.0,5039961.0,0.8220000000000001,0.879,0.8140000000000001,0.7929999999999999
23,257.0,Ketcham Elementary School,Elementary,310.0,300.0,49.0,42.18,3.0,3.0,325.0,325.0,38.86604269,-76.98362116,28.0,8.0,282.0,18.0,0.06,57.0,0.19,67.0,0.223333333,69.0,0.23,89.0,0.296666667,265.0,45.0,0.14516129,67.0,0.216129032,88.0,0.283870968,90.0,0.290322581,20.0,0.064516129,7445356.125,3200.0,3911474.0,2687586.0,0.18899999999999997,0.447,0.193,0.35100000000000003
24,258.0,Hearst Elementary School,Elementary,312.0,331.0,75.17,66.61,4.0,4.0,344.0,344.0,38.94072265,-77.07195522,15.0,3.0,201.0,130.0,0.392749245,172.0,0.519637462,24.0,0.072507553,5.0,0.01510574,0.0,0.0,212.0,100.0,0.320512821,183.0,0.586538462,24.0,0.076923077,5.0,0.016025641,0.0,0.0,7331423.969,3000.0,3675236.0,2703376.0,0.6459999999999999,0.593,0.598,0.598
25,259.0,Kimball Elementary School,Elementary,325.0,343.0,27.81,60.14,2.0,4.0,398.0,398.0,38.87906828,-76.93761631,33.0,7.0,337.0,6.0,0.017492711,185.0,0.539358601,88.0,0.256559767,20.0,0.058309038,44.0,0.128279883,291.0,34.0,0.104615385,180.0,0.553846154,91.0,0.28,15.0,0.046153846,5.0,0.015384615,8034221.706,3520.0,4136103.0,3049204.0,0.08,0.213,0.19699999999999998,0.168
26,261.0,Lafayette Elementary School,Elementary,816.0,887.0,73.92,81.51,4.0,5.0,805.0,805.0,38.96662755,-77.06803712,10.0,4.0,524.0,363.0,0.409244645,438.0,0.493799324,11.0,0.012401353,5.0,0.005636979,70.0,0.07891770000000001,412.0,404.0,0.495098039,402.0,0.492647059,5.0,0.006127451,5.0,0.006127451,0.0,0.0,12665080.0,6930.0,6366155.0,5371216.0,0.815,0.7909999999999999,0.797,0.7390000000000001
27,262.0,Langdon Elementary School,Elementary,324.0,353.0,72.65,65.73,4.0,4.0,500.0,500.0,38.92470416,-76.97708185,22.0,5.0,443.0,-90.0,-0.25495750699999997,158.0,0.44759206799999995,91.0,0.257790368,48.0,0.135977337,146.0,0.413597734,261.0,63.0,0.194444444,138.0,0.425925926,70.0,0.216049383,39.0,0.12037037,14.0,0.043209877,6921951.504,2610.0,3895729.0,2804787.0,0.331,0.225,0.369,0.35700000000000004
28,264.0,LaSalle-Backus Education Campus,Elementary_Middle,363.0,382.0,55.23,64.1,3.0,4.0,400.0,400.0,38.95997214,-76.99988254,19.0,4.0,338.0,44.0,0.115183246,183.0,0.47905759200000003,84.0,0.219895288,48.0,0.12565445,23.0,0.060209424000000004,316.0,47.0,0.129476584,175.0,0.482093664,76.0,0.209366391,40.0,0.11019283699999999,25.0,0.068870523,11204438.0,3520.0,5534604.0,3244381.0,0.187,0.21600000000000003,0.18100000000000002,0.319
29,266.0,Leckie Education Campus,Elementary_Middle,558.0,529.0,33.85,32.15,2.0,2.0,580.0,580.0,38.82819678,-77.01289191,39.0,8.0,417.0,112.0,0.21172022699999998,176.0,0.33270321399999997,127.0,0.240075614,114.0,0.215500945,0.0,0.0,470.0,88.0,0.15770609300000002,197.0,0.353046595,154.0,0.275985663,102.0,0.18279569899999998,17.0,0.03046595,10202107.78,4740.0,5409962.0,4062673.0,0.264,0.16899999999999998,0.248,0.152
30,271.0,Ludlow-Taylor Elementary School,Elementary,414.0,439.0,77.61,51.87,4.0,3.0,493.0,493.0,38.89874414,-76.99649249,25.0,6.0,293.0,146.0,0.332574032,222.0,0.505694761,32.0,0.072892938,5.0,0.011389522,34.0,0.077448747,260.0,154.0,0.371980676,184.0,0.444444444,53.0,0.128019324,18.0,0.043478261,5.0,0.012077295,8931684.255,3510.0,4973431.0,3440238.0,0.47600000000000003,0.5870000000000001,0.507,0.6940000000000001
