,school_sector,school_code,school_name,school_grade_range,school_enrollment_SY1819,school_star_score_SY1819,school_star_rating_SY1819,school_capacity_SY1819,school_unfilled_seats_SY1819,school_latitude,school_longitude,school_cluster,school_ward,school_grade_band,school_enrollment_SY1718,school_star_score_SY1718,school_star_rating_SY1718,school_capacity_SY1718,school_unfilled_seats_SY1718,attnd_count_truancy_aged_students_SY1819,attnd_absence_1-5_SY1819,attnd_absence_6-10_SY1819,attnd_absence_11-20_SY1819,attnd_absence_20+_SY1819,attnd_count_truancy_aged_students_SY1718,attnd_absence_1-5_SY1718,attnd_absence_6-10_SY1718,attnd_absence_11-20_SY1718,attnd_absence_20+_SY1718,school_budgeted_amount_FY16,school_budgeted_enrollment_FY16,school_budgeted_amount_FY17,school_budgeted_enrollment_FY17,school_capacity_pct_SY1819,school_capacity_pct_SY1718,students_with_absences_SY1819,students_with_absences_SY1718,pct_of_absences_1-5_SY1819,pct_of_student_absences_1-5_SY1819,pct_of_absences_6-10_SY1819,pct_of_student_absences_6-10_SY1819,pct_of_absences_11-20_SY1819,pct_of_student_absences_11-20_SY1819,pct_of_absences_20+_SY1819,pct_of_student_absences_20+_SY1819,pct_of_absences_1-5_SY1718,pct_of_absences_6-10_SY1718,pct_of_absences_11-20_SY1718,pct_of_absences_20+_SY1718,pct_of_student_absences_1-5_SY1718,pct_of_student_absences_6-10_SY1718,pct_of_student_absences_11-20_SY1718,pct_of_student_absences_20+_SY1718,cluster_Count of English Learner Students,cluster_English Learner Students as  share of Neighborhood Cluster,cluster_Count of At Risk Students,cluster_At Risk as share of Neighborhood Cluster,cluster_Count of Special Education Students,cluster_Special Education Students as share of Neighborhood Cluster,cluster_Sum of Enrollment by Sector and Grade Band
20,DCPS,224,Cleveland Elementary School,PK3-5th,304.0,49.16,3.0,346.0,42.0,38.91514529,-77.02270718,Cluster 3,Ward 1,Elementary,317.0,47.37,3.0,346.0,29.0,241.0,123.0,48.0,30.0,5.0,247.0,148.0,39.0,14.0,5.0,7495484.353334954,3170.0,4012949.0,2879049.0,0.8786127167630058,0.916184971098266,206.0,206.0,0.5970873786407767,0.4046052631578947,0.233009708737864,0.1578947368421052,0.145631067961165,0.0986842105263157,0.0242718446601941,0.0164473684210526,0.7184466019417476,0.1893203883495145,0.0679611650485436,0.0242718446601941,0.4668769716088328,0.1230283911671924,0.0441640378548895,0.0157728706624605,88,0.15,227,0.41,80,0.14,1305
21,DCPS,442,Columbia Heights Education Campus (CHEC),6th-12th,1320.0,58.12,3.0,1400.0,80.0,38.92954477,-77.03585831,Cluster 2,Ward 1,Education Campus/Multi,1240.0,58.59,3.0,1400.0,160.0,1304.0,418.0,257.0,281.0,245.0,1245.0,390.0,268.0,307.0,203.0,29569861.24634514,14010.0,15103919.0,8377643.0,0.9428571428571428,0.8857142857142857,1201.0,1168.0,0.3480432972522898,0.3166666666666666,0.2139883430474604,0.1946969696969697,0.2339716902581182,0.2128787878787879,0.2039966694421315,0.1856060606060606,0.3339041095890411,0.2294520547945205,0.2628424657534247,0.1738013698630137,0.314516129032258,0.2161290322580645,0.2475806451612903,0.1637096774193548,2276,0.37,2467,0.42,889,0.14,8171
22,DCPS,455,Coolidge High School,9th-12th,327.0,14.79,1.0,0.0,0.0,38.96728457,-77.01957835,Cluster 17,Ward 4,High,310.0,13.24,1.0,1105.0,795.0,330.0,61.0,47.0,63.0,143.0,329.0,101.0,53.0,58.0,87.0,13010968.0001285,4010.0,6724146.0,3558676.0,inf,0.2805429864253393,314.0,299.0,0.1942675159235669,0.1865443425076452,0.1496815286624203,0.1437308868501529,0.2006369426751592,0.1926605504587156,0.4554140127388535,0.437308868501529,0.3377926421404682,0.177257525083612,0.1939799331103679,0.2909698996655518,0.3258064516129032,0.1709677419354838,0.1870967741935484,0.2806451612903226,1531,0.37,1470,0.36,503,0.12,4456
23,DCPS,405,Deal Middle School,6th-8th,1507.0,88.93,5.0,1570.0,63.0,38.95289674,-77.07519907,Cluster 11,Ward 3,Middle,1475.0,88.22,5.0,1570.0,95.0,1547.0,1026.0,132.0,46.0,22.0,1520.0,1024.0,122.0,42.0,15.0,23619740.0,13320.0,12417393.0,8486178.0,0.9598726114649682,0.9394904458598726,1226.0,1203.0,0.8368678629690048,0.6808228268082283,0.1076672104404567,0.0875912408759124,0.0375203915171288,0.0305242203052422,0.0179445350734094,0.0145985401459854,0.8512053200332502,0.1014131338320864,0.0349127182044887,0.0124688279301745,0.6942372881355933,0.0827118644067796,0.0284745762711864,0.0101694915254237,48,0.03,40,0.03,94,0.07,4041
24,DCPS,349,Dorothy Height Elementary School,PK3-5th,480.0,60.16,4.0,635.0,155.0,38.94470049,-77.03054061,Cluster 18,Ward 4,Elementary,479.0,59.19,3.0,635.0,156.0,342.0,183.0,72.0,35.0,5.0,343.0,179.0,84.0,41.0,11.0,12310488.809812194,5920.0,6502401.0,4288047.0,0.7559055118110236,0.7543307086614173,295.0,315.0,0.6203389830508474,0.38125,0.2440677966101695,0.15,0.1186440677966101,0.0729166666666666,0.0169491525423728,0.0104166666666666,0.5682539682539682,0.2666666666666666,0.1301587301587301,0.0349206349206349,0.3736951983298539,0.1753653444676409,0.0855949895615866,0.022964509394572,2164,0.32,2406,0.36,883,0.13,7949
25,DCPS,231,Drew Elementary School,PK3-5th,236.0,20.4,2.0,362.0,126.0,38.89599397,-76.91992701,Cluster 31,Ward 7,Elementary,272.0,30.73,2.0,362.0,90.0,220.0,95.0,59.0,38.0,20.0,253.0,90.0,94.0,47.0,14.0,6514431.605821138,2200.0,3521707.0,2350996.0,0.6519337016574586,0.7513812154696132,212.0,245.0,0.4481132075471698,0.4025423728813559,0.2783018867924528,0.25,0.1792452830188679,0.1610169491525423,0.0943396226415094,0.0847457627118644,0.3673469387755102,0.3836734693877551,0.1918367346938775,0.0571428571428571,0.3308823529411764,0.3455882352941176,0.1727941176470588,0.0514705882352941,71,0.02,2089,0.61,612,0.18,3518
26,DCPS,467,Dunbar High School,9th-12th,667.0,22.24,2.0,1135.0,468.0,38.90762655,-77.01269148,Cluster 21,Ward 5,High,617.0,26.57,2.0,1135.0,518.0,718.0,27.0,43.0,135.0,508.0,671.0,37.0,61.0,164.0,398.0,17457680.481097747,6860.0,8919967.0,5286569.0,0.5876651982378854,0.5436123348017621,713.0,660.0,0.0378681626928471,0.04047976011994,0.0603085553997194,0.0644677661169415,0.1893408134642356,0.2023988005997001,0.7124824684431977,0.7616191904047976,0.056060606060606,0.0924242424242424,0.2484848484848484,0.603030303030303,0.059967585089141,0.0988654781199351,0.2658022690437601,0.6450567260940032,302,0.11,1154,0.44,377,0.14,5837
27,DCPS,457,Eastern High School,9th-12th,744.0,25.45,2.0,1100.0,356.0,38.89040266,-76.97968429,Cluster 26,Ward 6,High,769.0,31.67,2.0,1100.0,331.0,776.0,59.0,86.0,170.0,458.0,773.0,94.0,109.0,174.0,380.0,22845763.942949336,10700.0,10952631.0,5851047.0,0.6763636363636364,0.6990909090909091,773.0,757.0,0.0763260025873221,0.0793010752688172,0.111254851228978,0.1155913978494623,0.2199223803363518,0.2284946236559139,0.592496765847348,0.6155913978494624,0.1241743725231175,0.1439894319682959,0.2298546895640686,0.5019815059445178,0.1222366710013004,0.141742522756827,0.2262678803641092,0.494148244473342,73,0.03,672,0.26,269,0.1,3988
28,DCPS,232,Eaton Elementary School,PK4-5th,474.0,72.54,4.0,451.0,0.0,38.93272707,-77.06582114,Cluster 15,Ward 3,Elementary,476.0,88.24,5.0,451.0,0.0,456.0,260.0,23.0,5.0,5.0,453.0,256.0,5.0,0.0,0.0,8591750.0,4770.0,4295001.0,3602054.0,1.0509977827050998,1.0554323725055432,293.0,261.0,0.8873720136518771,0.5485232067510548,0.0784982935153583,0.0485232067510548,0.0170648464163822,0.010548523206751,0.0170648464163822,0.010548523206751,0.9808429118773946,0.0191570881226053,0.0,0.0,0.5378151260504201,0.0105042016806722,0.0,0.0,62,0.1,30,0.05,43,0.07,1465
29,DCPS,407,Eliot-Hine Middle School,6th-8th,232.0,31.2,2.0,0.0,0.0,38.89243149,-76.97897792,Cluster 25,Ward 6,Middle,203.0,7.43,1.0,717.0,514.0,265.0,72.0,48.0,67.0,69.0,227.0,55.0,54.0,56.0,48.0,7871144.3181985505,2390.0,3738793.0,2137601.0,inf,0.2831241283124128,256.0,213.0,0.28125,0.3103448275862069,0.1875,0.2068965517241379,0.26171875,0.2887931034482758,0.26953125,0.2974137931034483,0.2582159624413145,0.2535211267605634,0.2629107981220657,0.2253521126760563,0.270935960591133,0.2660098522167488,0.2758620689655172,0.2364532019704433,75,0.02,1009,0.33,387,0.13,4903
30,DCPS,471,Ellington School of the Arts,9th-12th,545.0,74.13,4.0,600.0,55.0,38.91344638,-77.07030757,Cluster 4,Ward 2,High,566.0,72.66,4.0,600.0,34.0,567.0,112.0,142.0,147.0,159.0,558.0,224.0,101.0,111.0,82.0,12437825.653188117,5270.0,6791997.0,3355125.0,0.9083333333333332,0.9433333333333334,560.0,518.0,0.2,0.2055045871559633,0.2535714285714285,0.2605504587155963,0.2625,0.2697247706422018,0.2839285714285714,0.291743119266055,0.4324324324324324,0.1949806949806949,0.2142857142857142,0.1583011583011583,0.3957597173144876,0.1784452296819788,0.196113074204947,0.1448763250883392,36,0.15,11,0.05,16,0.07,392
31,DCPS,318,Excel Academy,PK3-8th,469.0,43.87,3.0,0.0,0.0,38.85976209,-76.99535457,Cluster 37,Ward 8,Education Campus/Multi,,,,,,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,,,,,,,17,0.01,1716,0.68,446,0.17,3864
32,DCPS,238,Garfield Elementary School,PK3-5th,291.0,21.94,2.0,381.0,90.0,38.85173338,-76.97080478,Cluster 36,Ward 8,Elementary,301.0,32.1,2.0,381.0,80.0,274.0,112.0,99.0,22.0,25.0,281.0,127.0,103.0,21.0,5.0,7432684.903997406,2970.0,4272427.0,2770000.0,0.7637795275590551,0.7900262467191601,258.0,256.0,0.4341085271317829,0.3848797250859107,0.3837209302325581,0.3402061855670103,0.0852713178294573,0.0756013745704467,0.0968992248062015,0.0859106529209622,0.49609375,0.40234375,0.08203125,0.01953125,0.4219269102990033,0.3421926910299003,0.0697674418604651,0.0166112956810631,10,0,1602,0.74,416,0.19,1321
