code,name,grade_band,enrollment_SY1718,enrollment_SY1819,star_score_SY1718,star_score_SY1819,star_rating_SY1718,star_rating_SY1819,capacity_SY1718,capacity_SY1819,latitude,longitude,cluster,ward,count_any_SY1819,count_0_SY1819,pct_0_SY1819,count_1-5_SY1819,pct_1-5_SY1819,count_6-10_SY1819,pct_6-10_SY1819,count_11-20_SY1819,pct_11-20_SY1819,count_20+_SY1819,pct_20+_SY1819,count_any_SY1718,count_0_SY1718,pct_0_SY1718,count_1-5_SY1718,pct_1-5_SY1718,count_6-10_SY1718,pct_6-10__SY1718,count_11-20_SY1718,pct_11-20_SY1718,count_20+_SY1718,pct_20+_SY1718,budgeted_amount_FY16,budgeted_enrollment_FY16,budgeted_amount_FY17,budgeted_enrollment_FY17
307,Savoy Elementary School,Elementary,267,271,29.16,40.12,2,3,430,430,38.86285199,-76.99360426,37,8,240,31,0.114391144,38,0.140221402,67,0.247232472,100,0.36900369,35,0.129151292,195,72,0.269662921,55,0.205992509,59,0.220973783,54,0.202247191,27,0.101123596,9272923.974,4070,4404639,3102981
308,Malcolm X Elementary School @ Green,Elementary,256,242,41.51,42.32,3,3,520,520,38.8416454,-76.98339857,38,8,209,33,0.136363636,81,0.334710744,39,0.161157025,50,0.20661157,39,0.161157025,230,26,0.1015625,100,0.390625,77,0.30078125,53,0.20703125,0,0,6366471.15,2290,3473247,2415497
309,Seaton Elementary School,Elementary,371,390,46.54,70.59,3,4,446,446,38.9106187,-77.02488247,7,6,274,116,0.297435897,168,0.430769231,70,0.179487179,31,0.079487179,5,0.012820513,221,150,0.404312668,161,0.433962264,42,0.113207547,13,0.035040431,5,0.013477089,6594699.999,2910,4870841,3070682
313,Shepherd Elementary School,Elementary,364,379,67.39,76.61,4,4,400,400,38.98460328,-77.03399523,16,4,244,135,0.356200528,200,0.527704485,27,0.071240106,12,0.031662269,5,0.013192612,239,125,0.343406593,201,0.552197802,28,0.076923077,5,0.013736264,5,0.013736264,9881305.739,3260,3653973,3137322
315,Simon Elementary School,Elementary,274,241,40.12,17.9,3,1,325,325,38.83598054,-77.000195,39,8,228,13,0.053941909,69,0.286307054,69,0.286307054,65,0.269709544,25,0.10373444,255,19,0.069343066,123,0.448905109,65,0.237226277,49,0.178832117,18,0.065693431,6518293.63,3260,3441958,2448959
316,Randle Highlands Elementary School,Elementary,325,329,20.98,48.55,2,3,450,450,38.87009174,-76.96435628,34,7,246,83,0.252279635,178,0.541033435,58,0.176291793,5,0.015197568,5,0.015197568,224,101,0.310769231,181,0.556923077,38,0.116923077,5,0.015384615,0,0,8240200.023,3650,4018149,3047845
319,Stanton Elementary School,Elementary,493,473,20.72,38.76,2,2,586,586,38.85927211,-76.96849023,36,8,407,66,0.139534884,131,0.276955603,112,0.236786469,97,0.205073996,67,0.141649049,400,93,0.188640974,195,0.395537525,111,0.22515213,81,0.164300203,13,0.026369168,7054282.355,2600,5496878,4241257
321,Stoddert Elementary School,Elementary,438,463,78.95,77.85,4,4,489,489,38.92304465,-77.0790738,14,3,342,121,0.261339093,288,0.622030238,44,0.095032397,5,0.010799136,5,0.010799136,323,115,0.262557078,281,0.641552511,37,0.084474886,5,0.011415525,0,0,11507278.54,5390,4333567,3653883
322,Smothers Elementary School,Elementary,252,249,25.48,16.27,2,1,337,337,38.89355404,-76.93846864,30,7,196,53,0.212851406,68,0.273092369,68,0.273092369,37,0.148594378,23,0.092369478,194,58,0.23015873,74,0.293650794,59,0.234126984,56,0.222222222,5,0.01984127,6833348.452,3070,3842604,2580078
324,Takoma Education Campus,Elementary_Middle,473,508,30.48,44.94,2,3,450,450,38.97504287,-77.02279493,17,4,389,119,0.234251969,300,0.590551181,46,0.090551181,31,0.061023622,12,0.023622047,299,174,0.367864693,245,0.517970402,27,0.057082452,14,0.029598309,13,0.027484144,12146247.39,4780,6192923,3738438
325,Thomas Elementary School,Elementary,384,355,19.94,32.56,1,2,474,474,38.90127897,-76.95211091,30,7,310,45,0.126760563,76,0.214084507,92,0.25915493,85,0.23943662,57,0.16056338,335,49,0.127604167,96,0.25,116,0.302083333,89,0.231770833,34,0.088541667,10279368.99,4240,5378993,3496336
326,Thomson Elementary School,Elementary,308,331,43.67,61.03,3,4,357,357,38.90349634,-77.02843003,8,2,199,132,0.398791541,163,0.49244713,26,0.078549849,5,0.01510574,5,0.01510574,187,121,0.392857143,147,0.477272727,30,0.097402597,5,0.016233766,5,0.016233766,8148758.005,2730,3916753,2675179
327,Truesdell Education Campus,Elementary_Middle,698,609,56.88,65.31,3,4,775,775,38.95396869,-77.02507158,18,4,497,112,0.183908046,270,0.443349754,131,0.215106732,70,0.114942529,26,0.042692939,614,84,0.12034384,273,0.391117479,187,0.267908309,124,0.17765043,30,0.042979943,15127508,5700,7775938,4661719
328,Tubman Elementary School,Elementary,535,548,63.62,37.26,4,2,629,629,38.92919857,-77.0294433,2,1,454,94,0.171532847,264,0.481751825,108,0.197080292,60,0.109489051,22,0.040145985,440,95,0.177570093,264,0.493457944,101,0.188785047,55,0.102803738,20,0.037383178,13018436.6,5010,7060475,4356476
329,Turner Elementary School,Elementary,463,497,45.33,32.42,3,2,530,530,38.84763644,-76.98031323,38,8,433,64,0.128772636,72,0.144869215,100,0.201207243,153,0.307847082,108,0.217303823,416,47,0.101511879,88,0.190064795,104,0.22462203,144,0.311015119,80,0.172786177,10397480.11,4210,5712171,3893633
330,Tyler Elementary School,Elementary,525,512,47.07,75.33,3,4,564,564,38.88108436,-76.99204166,26,6,345,167,0.326171875,244,0.4765625,85,0.166015625,11,0.021484375,5,0.009765625,362,163,0.31047619,259,0.493333333,69,0.131428571,29,0.055238095,5,0.00952381,12642060.54,5380,6274522,4421227
331,Van Ness Elementary School,Elementary,215,270,-1,67.39,-1,4,347,347,38.87679645,-76.999244,27,6,183,87,0.322222222,125,0.462962963,31,0.114814815,22,0.081481481,5,0.018518519,122,93,0.43255814,84,0.390697674,20,0.093023256,13,0.060465116,5,0.023255814,3598418.535,1100,1947151,1689264
332,Walker-Jones Education Campus,Elementary_Middle,435,384,50.92,27.18,3,2,700,700,38.90419198,-77.01391569,8,6,364,20,0.052083333,130,0.338541667,93,0.2421875,91,0.236979167,50,0.130208333,369,66,0.151724138,119,0.273563218,127,0.291954023,81,0.186206897,42,0.096551724,12359678,4840,6139523,3758298
333,Watkins Elementary School (Capitol Hill Cluster),Elementary,428,444,73.94,69.95,4,4,460,460,38.88346701,-76.98999677,26,6,399,45,0.101351351,332,0.747747748,57,0.128378378,5,0.011261261,5,0.011261261,390,38,0.088785047,311,0.726635514,74,0.172897196,5,0.011682243,0,0,9217560.602,4820,4378341,3287838
335,Wheatley Education Campus,Elementary_Middle,324,312,42.16,30.23,3,2,500,500,38.90411774,-76.98850077,23,5,278,34,0.108974359,99,0.317307692,93,0.298076923,53,0.169871795,33,0.105769231,276,48,0.148148148,70,0.216049383,80,0.24691358,98,0.302469136,28,0.086419753,10767216.63,4580,5137250,3213691
336,West Education Campus,Elementary_Middle,330,336,55.27,67.22,3,4,378,378,38.95136741,-77.03225306,18,4,246,90,0.267857143,127,0.37797619,74,0.220238095,28,0.083333333,17,0.050595238,251,79,0.239393939,124,0.375757576,66,0.2,41,0.124242424,20,0.060606061,7711848.131,2780,4115372,3009106
338,Whittier Education Campus,Elementary_Middle,325,351,45.39,77.18,3,4,520,520,38.96585727,-77.0192386,17,4,326,25,0.071225071,156,0.444444444,91,0.259259259,61,0.173789174,18,0.051282051,292,33,0.101538462,119,0.366153846,88,0.270769231,54,0.166153846,31,0.095384615,10893376.72,3490,5364029,3181385
339,J.O. Wilson Elementary School,Elementary,509,477,59.25,50.77,3,3,513,513,38.902758,-76.99658902,25,6,337,140,0.293501048,146,0.306079665,108,0.226415094,83,0.174004193,0,0,394,115,0.225933202,180,0.353634578,120,0.235756385,71,0.139489194,23,0.04518664,11515283.96,4930,5906913,4219416
344,"King, M L Elementary School",Elementary,346,295,25.44,35.37,2,2,444,444,38.84244319,-76.99823899,39,8,201,94,0.318644068,53,0.179661017,57,0.193220339,86,0.291525424,5,0.016949153,298,48,0.138728324,86,0.248554913,72,0.208092486,90,0.260115607,50,0.144508671,9129363.996,3880,4995703,3514917
347,Brookland Middle School,Middle,238,270,18.56,41.16,1,3,534,534,38.93874518,-76.99114684,20,5,0,270,1,,0,,0,,0,0,0,0,238,1,,0,,0,,0,,0,-1,-1,3793656,2327185
349,Dorothy Height Elementary School,Elementary,479,480,59.19,60.16,3,4,635,635,38.94470049,-77.03054061,18,4,295,185,0.385416667,183,0.38125,72,0.15,35,0.072916667,5,0.010416667,315,164,0.342379958,179,0.373695198,84,0.175365344,41,0.08559499,11,0.022964509,12310488.81,5920,6502401,4288047
360,Capitol Hill Montessori School @ Logan,Elementary_Middle,365,362,54.34,65.7,3,4,392,392,38.89853031,-77.00256647,25,6,230,132,0.364640884,147,0.406077348,47,0.129834254,24,0.066298343,12,0.033149171,242,123,0.336986301,137,0.375342466,71,0.194520548,29,0.079452055,5,0.01369863,6855939.997,3390,3697662,3306988
370,Langley Elementary School,Elementary,275,290,14.26,32.07,1,2,530,530,38.91516879,-77.00588662,21,5,202,88,0.303448276,78,0.268965517,71,0.244827586,48,0.165517241,5,0.017241379,238,37,0.134545455,107,0.389090909,68,0.247272727,42,0.152727273,21,0.076363636,8813882.948,3100,4355320,2581967
402,Benjamin Banneker High School,High,482,482,99.01,98.67,5,5,654,654,38.92383276,-77.02397697,2,1,393,89,0.184647303,294,0.609958506,72,0.149377593,22,0.045643154,5,0.010373444,376,106,0.219917012,309,0.641078838,47,0.097510373,15,0.031120332,5,0.010373444,8774904.361,4540,4622883,3391093
404,Browne Education Campus,Elementary_Middle,325,371,32.78,28.62,2,2,828,828,38.90259888,-76.97066706,23,5,319,52,0.140161725,131,0.35309973,98,0.264150943,60,0.161725067,30,0.080862534,273,52,0.16,157,0.483076923,69,0.212307692,35,0.107692308,12,0.036923077,10587752.01,3360,5147917,3485916
405,Deal Middle School,Middle,1475,1507,88.22,88.93,5,5,1570,1570,38.95289674,-77.07519907,11,3,1226,281,0.186463172,1026,0.680822827,132,0.087591241,46,0.03052422,22,0.01459854,1203,272,0.18440678,1024,0.694237288,122,0.082711864,42,0.028474576,15,0.010169492,23619740,13320,12417393,8486178
407,Eliot-Hine Middle School,Middle,203,232,7.43,31.2,1,2,717,717,38.89243149,-76.97897792,25,6,256,-24,-0.103448276,72,0.310344828,48,0.206896552,67,0.288793103,69,0.297413793,213,-10,-0.049261084,55,0.270935961,54,0.266009852,56,0.275862069,48,0.236453202,7871144.318,2390,3738793,2137601
409,School Without Walls @ Francis-Stevens,Elementary_Middle,473,472,58.29,58.04,3,3,513,513,38.9074695,-77.052321,5,2,323,149,0.315677966,235,0.497881356,65,0.137711864,18,0.038135593,5,0.01059322,326,147,0.310782241,222,0.469344609,67,0.141649049,32,0.067653277,5,0.010570825,-1,-1,5468798,3978849
