school_sector,school_code,school_name,school_grade_range,school_enrollment_SY1819,school_star_score_SY1819,school_star_rating_SY1819,school_capacity_SY1819,school_unfilled_seats_SY1819,school_latitude,school_longitude,school_cluster,school_ward,school_grade_band,school_enrollment_SY1718,school_star_score_SY1718,school_star_rating_SY1718,school_capacity_SY1718,school_unfilled_seats_SY1718,attnd_count_truancy_aged_students_SY1819,attnd_absence_1-5_SY1819,attnd_absence_6-10_SY1819,attnd_absence_11-20_SY1819,attnd_absence_20+_SY1819,attnd_count_truancy_aged_students_SY1718,attnd_absence_1-5_SY1718,attnd_absence_6-10_SY1718,attnd_absence_11-20_SY1718,attnd_absence_20+_SY1718,school_budgeted_amount_FY16,school_budgeted_enrollment_FY16,school_budgeted_amount_FY17,school_budgeted_enrollment_FY17,school_capacity_pct_SY1819,school_capacity_pct_SY1718,students_with_absences_SY1819,students_with_absences_SY1718,pct_of_absences_1-5_SY1819,pct_of_student_absences_1-5_SY1819,pct_of_absences_6-10_SY1819,pct_of_student_absences_6-10_SY1819,pct_of_absences_11-20_SY1819,pct_of_student_absences_11-20_SY1819,pct_of_absences_20+_SY1819,pct_of_student_absences_20+_SY1819,pct_of_absences_1-5_SY1718,pct_of_absences_6-10_SY1718,pct_of_absences_11-20_SY1718,pct_of_absences_20+_SY1718,pct_of_student_absences_1-5_SY1718,pct_of_student_absences_6-10_SY1718,pct_of_student_absences_11-20_SY1718,pct_of_student_absences_20+_SY1718
DCPS,224,Cleveland Elementary School,PK3-5th,304.0,49.16,3.0,346.0,42.0,38.91514529,-77.02270718,Cluster 3,Ward 1,Elementary,317.0,47.37,3.0,346.0,29.0,241,123.0,48.0,30.0,5.0,247.0,148.0,39.0,14.0,5.0,7495484.353334954,3170.0,4012949.0,2879049.0,0.8786127167630058,0.9161849710982659,206.0,206.0,0.5970873786407767,0.40460526315789475,0.23300970873786409,0.15789473684210525,0.14563106796116504,0.09868421052631579,0.024271844660194174,0.01644736842105263,0.7184466019417476,0.18932038834951456,0.06796116504854369,0.024271844660194174,0.4668769716088328,0.12302839116719243,0.04416403785488959,0.015772870662460567
DCPS,442,Columbia Heights Education Campus (CHEC),6th-12th,1320.0,58.12,3.0,1400.0,80.0,38.92954477,-77.03585831,Cluster 2,Ward 1,Education Campus/Multi,1240.0,58.59,3.0,1400.0,160.0,1304,418.0,257.0,281.0,245.0,1245.0,390.0,268.0,307.0,203.0,29569861.24634514,14010.0,15103919.0,8377643.0,0.9428571428571428,0.8857142857142857,1201.0,1168.0,0.3480432972522898,0.31666666666666665,0.21398834304746045,0.1946969696969697,0.23397169025811823,0.2128787878787879,0.20399666944213155,0.1856060606060606,0.3339041095890411,0.22945205479452055,0.2628424657534247,0.1738013698630137,0.31451612903225806,0.2161290322580645,0.24758064516129033,0.16370967741935483
DCPS,455,Coolidge High School,9th-12th,327.0,14.79,1.0,0.0,0.0,38.96728457,-77.01957835,Cluster 17,Ward 4,High,310.0,13.24,1.0,1105.0,795.0,330,61.0,47.0,63.0,143.0,329.0,101.0,53.0,58.0,87.0,13010968.0001285,4010.0,6724146.0,3558676.0,inf,0.28054298642533937,314.0,299.0,0.1942675159235669,0.18654434250764526,0.14968152866242038,0.1437308868501529,0.20063694267515925,0.1926605504587156,0.4554140127388535,0.43730886850152906,0.3377926421404682,0.17725752508361203,0.1939799331103679,0.2909698996655518,0.3258064516129032,0.17096774193548386,0.1870967741935484,0.2806451612903226
DCPS,405,Deal Middle School,6th-8th,1507.0,88.93,5.0,1570.0,63.0,38.95289674,-77.07519907,Cluster 11,Ward 3,Middle,1475.0,88.22,5.0,1570.0,95.0,1547,1026.0,132.0,46.0,22.0,1520.0,1024.0,122.0,42.0,15.0,23619740.0,13320.0,12417393.0,8486178.0,0.9598726114649682,0.9394904458598726,1226.0,1203.0,0.8368678629690048,0.6808228268082283,0.10766721044045677,0.08759124087591241,0.037520391517128875,0.030524220305242204,0.01794453507340946,0.014598540145985401,0.8512053200332502,0.10141313383208644,0.034912718204488775,0.012468827930174564,0.6942372881355933,0.08271186440677966,0.02847457627118644,0.010169491525423728
DCPS,349,Dorothy Height Elementary School,PK3-5th,480.0,60.16,4.0,635.0,155.0,38.94470049,-77.03054061,Cluster 18,Ward 4,Elementary,479.0,59.19,3.0,635.0,156.0,342,183.0,72.0,35.0,5.0,343.0,179.0,84.0,41.0,11.0,12310488.809812194,5920.0,6502401.0,4288047.0,0.7559055118110236,0.7543307086614173,295.0,315.0,0.6203389830508474,0.38125,0.2440677966101695,0.15,0.11864406779661017,0.07291666666666667,0.01694915254237288,0.010416666666666666,0.5682539682539682,0.26666666666666666,0.13015873015873017,0.03492063492063492,0.3736951983298539,0.17536534446764093,0.08559498956158663,0.022964509394572025
DCPS,231,Drew Elementary School,PK3-5th,236.0,20.4,2.0,362.0,126.0,38.89599397,-76.91992701,Cluster 31,Ward 7,Elementary,272.0,30.73,2.0,362.0,90.0,220,95.0,59.0,38.0,20.0,253.0,90.0,94.0,47.0,14.0,6514431.605821138,2200.0,3521707.0,2350996.0,0.6519337016574586,0.7513812154696132,212.0,245.0,0.4481132075471698,0.4025423728813559,0.2783018867924528,0.25,0.1792452830188679,0.16101694915254236,0.09433962264150944,0.0847457627118644,0.3673469387755102,0.3836734693877551,0.19183673469387755,0.05714285714285714,0.33088235294117646,0.34558823529411764,0.17279411764705882,0.051470588235294115
DCPS,467,Dunbar High School,9th-12th,667.0,22.24,2.0,1135.0,468.0,38.90762655,-77.01269148,Cluster 21,Ward 5,High,617.0,26.57,2.0,1135.0,518.0,718,27.0,43.0,135.0,508.0,671.0,37.0,61.0,164.0,398.0,17457680.481097747,6860.0,8919967.0,5286569.0,0.5876651982378854,0.5436123348017621,713.0,660.0,0.037868162692847124,0.04047976011994003,0.06030855539971949,0.06446776611694154,0.18934081346423562,0.20239880059970014,0.7124824684431977,0.7616191904047976,0.05606060606060606,0.09242424242424242,0.24848484848484848,0.603030303030303,0.059967585089141004,0.09886547811993517,0.26580226904376014,0.6450567260940032
DCPS,457,Eastern High School,9th-12th,744.0,25.45,2.0,1100.0,356.0,38.89040266,-76.97968429,Cluster 26,Ward 6,High,769.0,31.67,2.0,1100.0,331.0,776,59.0,86.0,170.0,458.0,773.0,94.0,109.0,174.0,380.0,22845763.942949336,10700.0,10952631.0,5851047.0,0.6763636363636364,0.6990909090909091,773.0,757.0,0.07632600258732213,0.0793010752688172,0.111254851228978,0.11559139784946236,0.21992238033635186,0.22849462365591397,0.592496765847348,0.6155913978494624,0.12417437252311757,0.14398943196829592,0.22985468956406868,0.5019815059445178,0.1222366710013004,0.14174252275682706,0.22626788036410922,0.494148244473342
DCPS,232,Eaton Elementary School,PK4-5th,474.0,72.54,4.0,451.0,0.0,38.93272707,-77.06582114,Cluster 15,Ward 3,Elementary,476.0,88.24,5.0,451.0,0.0,456,260.0,23.0,5.0,5.0,453.0,256.0,5.0,0.0,0.0,8591750.0,4770.0,4295001.0,3602054.0,1.0509977827050998,1.0554323725055432,293.0,261.0,0.8873720136518771,0.5485232067510548,0.07849829351535836,0.04852320675105485,0.017064846416382253,0.010548523206751054,0.017064846416382253,0.010548523206751054,0.9808429118773946,0.019157088122605363,0.0,0.0,0.5378151260504201,0.01050420168067227,0.0,0.0
DCPS,407,Eliot-Hine Middle School,6th-8th,232.0,31.2,2.0,0.0,0.0,38.89243149,-76.97897792,Cluster 25,Ward 6,Middle,203.0,7.43,1.0,717.0,514.0,265,72.0,48.0,67.0,69.0,227.0,55.0,54.0,56.0,48.0,7871144.3181985505,2390.0,3738793.0,2137601.0,inf,0.28312412831241285,256.0,213.0,0.28125,0.3103448275862069,0.1875,0.20689655172413793,0.26171875,0.28879310344827586,0.26953125,0.2974137931034483,0.25821596244131456,0.2535211267605634,0.26291079812206575,0.22535211267605634,0.270935960591133,0.2660098522167488,0.27586206896551724,0.23645320197044334
